node_use, park_name, items_name, easting, node_id, description, item_id, ogc_fid, pr_no, longitude, latitude, northing, nodes_name, item_type
"BALANCE OF PARK","QUANDONG PARK",null,"500,040.45","19,635","Shared pathway","95,538",3,"D0001",153.0004093,-27.43643874,"6,965,223.65","BALANCE OF PARK","BIKEWAY"
"BALANCE OF PARK","GREENE PARK","CYCLIST FACILITY","517,093.72","21,846","Bikerack","48,450",43,"D0002",153.1729609,-27.43577547,"6,965,285.23","BALANCE OF PARK","BIKE RACK"
"BALANCE OF PARK","GREENE PARK","PATH","517,036.94","21,846","Concrete path","48,451",44,"D0002",153.1723874,-27.43644533,"6,965,211.11","BALANCE OF PARK","BIKEWAY"
"SPORTING NODE","GREENE PARK","CRICKET RECREATION FACILITY","517,063.13","21,851","Cricket pitch","54,091",46,"D0002",153.172652,-27.43617083,"6,965,241.48","GREENE PK JR CRICKET FIELD","CRICKET PITCH"
"RECREATION NODE","PRIMROSE PARK",null,"515,563.66","21,060","Half Basketball","32,547",91,"D0003",153.1574877,-27.44178227,"6,964,621.91","PRIMROSE PK HALF CRT, REBOUND WALL & JR CRICKET FACILITY","BASKETBALL/NETBALL FACILITY"
"RECREATION NODE","PRIMROSE PARK",null,"515,561.24","21,060","Tennis Rebound","32,439",101,"D0003",153.1574629,-27.44155895,"6,964,646.65","PRIMROSE PK HALF CRT, REBOUND WALL & JR CRICKET FACILITY","REBOUND WALL"
"RECREATION NODE","PRIMROSE PARK",null,"515,564.98","21,060","basketball hoop","118,235",102,"D0003",153.1575011,-27.44183083,"6,964,616.53","PRIMROSE PK HALF CRT, REBOUND WALL & JR CRICKET FACILITY","RECREATION FACILITY COMPONENT"
"BALANCE OF PARK","NICHOLAS PARK",null,"494,845.42","19,629","shared bikeway","88,426",149,"D0005",152.9478385,-27.44730973,"6,964,018.43","BALANCE OF PARK","BIKEWAY"
"SPORTING NODE","KITCHENER PARK",null,"516,464.86","21,052",null,"163,874",227,"D0006",153.1666134,-27.44611711,"6,964,140.58","WYNNUM MANLY JR RUGBY LEAGUE FACILITY","BIKE RACK"
"SPORTING NODE","KITCHENER PARK","WYNNUM GOLF PRACTICE 2","516,409.61","21,051","golf green","45,512",304,"D0006",153.1660536,-27.44567829,"6,964,189.26","WYNNUM GOLF CLUB PRACTICE RANGE","GOLF COURSE"
"SPORTING NODE","KITCHENER PARK",null,"516,611.78","21,049","croquet green","363",317,"D0006",153.168097,-27.44404358,"6,964,370.06","WYNNUM CROQUET CLUB","LAWN BOWLS/CROQUET GREEN"
"SPORTING NODE","KITCHENER PARK",null,"516,572.00","21,049","croquet green","176,542",318,"D0006",153.1676951,-27.44445655,"6,964,324.37","WYNNUM CROQUET CLUB","LAWN BOWLS/CROQUET GREEN"
"SPORTING NODE","KITCHENER PARK",null,"516,603.87","21,049","croquet green","176,541",319,"D0006",153.1680175,-27.44441834,"6,964,328.56","WYNNUM CROQUET CLUB","LAWN BOWLS/CROQUET GREEN"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,497.61","21,039","Tennis hit up wall","54,396",415,"D0006",153.1669432,-27.44504346,"6,964,259.46","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","REBOUND WALL"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,515.53","21,039","tennis net","163,772",457,"D0006",153.1671246,-27.44507349,"6,964,256.11","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORT FACILITY COMPONENT"
