sa4_code16, life_expectancy_p_2017_19
"101",82.2
"102",81.4
"103",80.6
"104",81.1
"105",79.5
"106",81.9
"107",82.4
"108",81.3
"109",80.8
"110",81.3
"111",81.4
"112",81.2
"113",81.6
"114",81.5
"115",86.1
"116",82.8
"117",83.7
"118",85.3
"119",84.2
"120",85.3
"121",86.6
"122",85.8
"123",82.3
"124",81.8
"125",84.0
"126",86.0
"127",83.7
"128",84.7
"201",81.6
"202",82.2
"203",82.7
"204",81.9
"205",81.0
"206",84.6
"207",86.2
"208",84.9
"209",84.3
"210",83.8
"211",84.1
"212",84.2
"213",83.3
"214",82.8
"215",80.7
"216",81.3
"217",82.3
"301",83.3
"302",82.7
"303",84.1
"304",85.6
"305",84.6
"306",81.2
"307",81.8
"308",81.6
"309",83.3
"310",82.1
"311",82.0
"312",82.6
"313",81.5
"314",84.6
"315",78.8
"316",83.8
"317",82.3
"318",81.4
"319",80.6
"401",84.7
"402",82.0
"403",83.3
"404",82.3
"405",81.6
"406",80.4
"407",82.2
"501",82.4
"502",81.6
"503",85.1
"504",83.3
"505",84.3
"506",83.8
"507",84.0
"509",81.9
"510",79.4
"511",80.6
"601",82.0
"602",81.4
"603",81.4
"604",81.0
"701",82.2
"702",74.3
"801",83.5
